EntryID,SignFrequency(M),SignType,SelectedFingers,Flexion,MajorLocation,Movement
challenge,4.48,SymmetricalOrAlternating,thumb,1,Neutral,Straight
shampoo,4.481,SymmetricalOrAlternating,imrp,5,Head,BackAndForth
yellow,4.481,OneHanded,p,1,Neutral,None
waiter,4.484,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
lettuce,4.484,OneHanded,imrp,2,Head,BackAndForth
death,4.484,SymmetricalOrAlternating,imrp,1,Neutral,Curved
complex,4.5,SymmetricalOrAlternating,i,1,Neutral,Straight
cute_2,4.5,OneHanded,im,1,Head,None
pain,4.5,SymmetricalOrAlternating,i,4,Neutral,None
america,4.5,SymmetricalOrAlternating,imrp,1,Neutral,Circular
call_attention,4.5,AsymmetricalDifferentHandshape,imrp,1,Hand,Curved
demand,4.5,Other,i,2,Hand,Straight
city,4.5,SymmetricalOrAlternating,imrp,1,Neutral,Straight
grandmother,4.5,OneHanded,imrp,1,Head,Other
asia,4.516,OneHanded,imrp,7,Neutral,Circular
teeth,4.519,OneHanded,i,2,Head,BackAndForth
forgetful,4.519,OneHanded,imrp,1,Head,BackAndForth
introduce,4.519,SymmetricalOrAlternating,imrp,3,Neutral,Curved
cafeteria,4.519,OneHanded,imrp,5,Head,BackAndForth
god,4.519,OneHanded,imrp,1,Neutral,Curved
magazine,4.519,AsymmetricalDifferentHandshape,i,2,Hand,BackAndForth
type,4.52,SymmetricalOrAlternating,im,Stacked,Neutral,Circular
wet,4.52,SymmetricalOrAlternating,imrp,3,Neutral,Straight
brave,4.522,SymmetricalOrAlternating,imrp,5,Body,Straight
soda,4.533,AsymmetricalDifferentHandshape,m,3,Hand,BackAndForth
misunderstand,4.533,OneHanded,im,1,Head,None
action,4.533,SymmetricalOrAlternating,imrp,5,Neutral,Circular
summarize,4.538,SymmetricalOrAlternating,imrp,5,Neutral,Straight
impossible,4.542,AsymmetricalDifferentHandshape,p,1,Hand,BackAndForth
soup,4.548,AsymmetricalDifferentHandshape,im,5,Hand,Circular
scissors,4.548,OneHanded,im,1,Neutral,None
girl,4.552,OneHanded,thumb,1,Head,Curved
tea,4.556,AsymmetricalDifferentHandshape,i,6,Hand,Circular
videocamera,4.56,AsymmetricalDifferentHandshape,imrp,3,Hand,None
fish,4.56,AsymmetricalSameHandshape,imrp,1,Hand,None
credit_card,4.56,AsymmetricalDifferentHandshape,imrp,7,Hand,BackAndForth
letter,4.567,AsymmetricalSameHandshape,thumb,1,Head,Straight
department,4.567,SymmetricalOrAlternating,mrp,6,Neutral,Curved
thermometer,4.577,AsymmetricalSameHandshape,i,1,Hand,BackAndForth
surprise,4.583,SymmetricalOrAlternating,i,6,Head,None
mind,4.583,OneHanded,i,5,Head,BackAndForth
certificate,4.583,SymmetricalOrAlternating,imrp,5,Neutral,BackAndForth
dream,4.583,OneHanded,i,1,Head,Straight
